id_code,start_time,end_time,duration,airplane,surfboard,alert,annually,apple,ass,attempt,band,bean,carry,children,church,clam,clipper,construction,cook,cover,dagger,deodorant,dolphin,dress,dusk,east,egypt,expensive,explain,food,fox,gin,hello,hug,hurt,inhale,instrument,keep,marry,men,mustache,navy,near,number,once,rich,room,scare,scientist,short,shot,sly,smudge,stone,storm,tear,theory,thunder,trip,trophy,unfair,waiter,wet,world,worry
62839,10/28/10 23:49,10/29/10 0:31,42,"it flies, has wings, uses gas, used for travel","sturdy, long, used for surfing, used in oceans","to make known, is a warning, means to warn, can be loud, causes concern, makes aware of something, announces something","happens once a year, occurs once every fifty two weeks, is not very often, is a consistent occurence","is a fruit, can be eaten, apple-flavored, is healthy, is nutritious, comes in different flavors","is an animal, is stubborn, is an insult, strong, is a rear, someone who is stubborn","is to try, is a try, taking a chance, means giving something a shot, trying something new","muscial group, a narrow or wide strip, makes music, uses instruments","can be eaten, used for food, comes from plant, cooked","it to transport, takes something somewhere, to move to another place, is how to move something","are young, are playful, are products of reproduction, talk, eat sleep, run, have energy, are learning constantly, are our future","is a place of worship, house of God, gathering of believers, meeting place for fellowship, part of religion","is an animal, can be eaten, is used in food, can mean shut tight, lives in water","trims, cuts, can cut nails, is an object, has sharp ends","is in the process. means building, is loud, it takes time","is to prepare food, someone who prepares food, to make a meal, a food worker, is to heat","to put something over, keeps something hot or cool, used as a blanket, keeps you warm, keeps something out","is a weapon, is a small knife, is sharp, used for centuries, is uncommon tool","smells nice, prevents bad smells,  is hygiene product","is an animal, lives in the ocean, is grey, eats fish, has fins, jumps out of water","is feminine, is what we wear, how we dress, a feminine article of clothing, nice apparel","is at night, the sunset, is before dark, is the end of something, is beautiful","is opposite west, is a direction, a region, is an area of the world","is a country, mostly desert, is in Africa, has much history, had pharohs, is where the pyramids are, place of an ancient empire","costs money, means it is unaffordable, cannot be bought cheap, requires much money, in demand","is to clarify, make self clear, have a reason, is making something known","is edible, goes in our mouths, tastes, has flavor, provides nutrition","is an animal, hunts, is beautiful, is scary, predator, lives in woods","is a liquor, is a type of game, is played with cards, can be a drink, is alcoholic","is a greeting, said in an introduction, used when meeting people, is a friendly phrase, said at the beginning of a conversation","is an embrace, feels nice, is affectionate, shows love, is wrapping arms around, is comforting","in pain, cause pain, to inflict harm, is uncomforable","to take a breath in, to takin air in, is relaxing, is necessary for life, used in meditation, happens involuntarily","is a tool, used to help make something, a musical object, makes music","is to hold on to, not throwing away","to join in matrimony, happens at a wedding, is to make a long term commitment","are different than women, is a gender, are aggressive, is a group of males, are not females","is on a face, facial hair, usually on men, is above lip","is a military branch, is strong, proud, a shade of blue, patriotic","is not far, is close, is within a certain distance","is a numeral, is to count, something counted","only done one time, done one time, happened before","has money, monetary wealth, is wealthy, is well-off, is not deficient","is a space, has four walls, is in a building, is a certain area, has a purpose","is to frighten, makes suddenly uneasy, frightens, makes heart race","works through problems, learns about the world, uses problem solving","is not tall, lacking in height, does not reach, describes height","is to be shot, hit with a bullet, is a chance, comes from a gun, firing of a weapon","is sneaky, is stealth, smooth, skilled, is tricky, done without a hitch","is to smear, something smeared, had been wiped out of place, is to make unclean","is a rock, is hard, can be thrown, comes from the ground, is throwing rocks at others","inclement weather, includes rain, sounds terrible, is loud, is unpleasant, dark, cold","is to rip, is a rip, comes from crying, runs from eyes, is to tear something,is  wet","is an explanation, is not always proven, collection of supported hypothesis, an idea about problem","is loud, follows lightning, happens in storms,","cause to fall, a fall, is a travel experience, is traveling, is to stumble","is a prize, is won, is earned, is given to winners, is prized, is a show piece, is desired, goal of competition, is shiny","unjust, not fair, given unequally, not equal, not right","works at a restaurant, makes tips, makes little money, brings food to table, gets custormers drinks, is an occupation, someone who waits tables","is moist, is moistened, had liquid on it, needs to dry","is the Earth, includes all cultures, is huge, part of the universe, where we are","is to stress, to cause stress, is not fun, shows concern, makes someone tense"
65335,10/28/10 23:53,10/29/10 0:13,20,flies high in the sky,used by large bodies of water to go surfing,awake associated with the color red,"yearly, yearly sales",a food item a fruit red grown on trees,"a butt, a donkey- gray can me seen in the movie shrek and at the zoo, a mean person",try to do something,a group of people that play music together using instruments can also be like a marching band,"a food, many kinds of them, edible, are able to plant them",to hold something,little kids ages 4-12 run around a lot still in grade school preschool and kindergarten,a place to go and worship many different religions have these,waters a seafood thought of as pink with a pearl inside,used to cut hair grass and nails makes them shorter,"building, loud, obnoxious at types, workers wear hard hats",somebody who makes food so that your belly is satisfied,"to a book or letter the first thing you see can also cover up an object so others wont see it	","a little knife, not a pleasant way to die from can be used to hunt","put on your armpits so you dont have BO, usually smells good, different brands for girls and guys","a friendly animal, can do flips and tricks seen at sea world also found in the ocean",a cloth item that girls wear when they want to dress up,the time between day and night when the sun goes down when the sun sets,on the compass rose a sense of direction,a place with many pyramids desert barren lands,not cheap costly not sale items,define something answer on your test or where you were at,yummy satisfies the belly different groups sweet salty etc.,an animal that is a deep orange food in the woods/forest,"an alcoholic beverage, can be mixed with other drinks such as coke is tasty",a friendly gesture when greeting somebody,wrap your arms around another person out of happiness or whenever can be given to friends and family members usually,"in pain, not a fun experience, can be from sadness or injury- physically and mentally","breathe in, mostly oxygen",an item you play in a band at school or with celebrity music everybody enjoys the tunes produced,hold on to an item,two people that are going to spend the rest of their lives together have a ceremony to be this way join to families,not females have different genitalia lke females usually and broad shoulders,on males faces usually between the upper lip and the nose can me itchy thick or thin mad of hair,a shade of blue and a section of the armed services,close to you close to the finish not far away,seen in math on a clock to tell your age they arew everywhere in stats,one time often starts off a fairytales,can afford expensive items have lots of money can also be rich in love,a place that has furniture people can congragate in them and chill they are the build up of houses and buildings many different types,to be afraid like of a movie or of an object you are scared a lot around halloween,a person that performs experiments in science wear long white jackets,"small, little, opposite of tall","take a shot of alcohol, can be shot, can take a shot in a sport",sneaky try to get away with things,not neat bothersome to some people,a brick its hard can be used to make buildings and gardens very pretty,has rain lightning and thunder can be loud and scary to some the sky turns extremely dark,from crying either from sadness or happiness run down your cheaks,"what scientists have already experimented has become this, what we believe is right cause it was proved multiple times",heard after the lightening during storms,can be short-to the grocery store or long like a vacation a nice time to relax and escape from everyday work,an item that you get for winning a tournament often gold but doesnt have to be,not fair feel cheated out of something,a person that takes orders at a resturaunt can be a girl or guy,liquid is on you maybe from a pool or shower,where we live has bodies of water and land,scared about something can make yourself shake you are so worried may become this way before a test
63541,10/29/10 3:24,10/29/10 4:37,73,"fly, air, physics, milestones, passenger, wars, wings, used to transport, difference lays in engines, fast, high up, mile high club","hard, smooth, used on water, guys use them, guys with tans use them, hurley, tough to learn,","awake, not tired, watchful, on the look out, listener not a talker, deals with information, passes it on to others,","one per year, reoccuring, on a schedule","red, simple, round, green, healthy, popular, common, crisp, food, fruit, does it contain worms, hand picked, nature, childhood","bog booty bitches, anal, the first thing you look at, should be tight and smooth, something you touch, dirty, off-limits","challenge, not a noun, fail, succeed, pitiful, striving, hopeful, two-sided","dear in the headlights, circa survive, brand new, chevelle, eminem, Ipod","mexican, disgusting, only useful for counting, a vegetable, has a recognizable smell","a burden, something that slows you down","young, differenct, carefree, innocent, elementary school, our biggest responsibility","a building, a figurative place, God, Jesus, Sundays, welcoming, closely tied with a religion, a place of worship, where a tired soul goes to inhale","a food, cheap if fried, expensive if anything but fried, delicious, in a shell, small, seafood, make pearls","used to cut hair, battery operated or plugged in, costs 25 USD, makes a buzzing sound","men, hard hats, a major part of industry, provides infrastructure, wood, metal, large projects,  work towards a common goal","kitchen, heat, time, takes preparation, the end result is an art","what you get behind, useful in sleeping and in warfare, can be soft or hard, used to conceal, used for protection from something","a knife that is used in a sinister way, used for a specific purpose, sharp, pionted, with a handel, used for violence","smells good, contains tin, know to the state of california to cause cancer, because we sweat, AXE and OLDSPICE, everyday routine, you do it for others","sleek, intelligent compared to, wet, in Seaworld, communicates, smooth, jumps up in the air to get attention","can be long or short, pretty, put on for somebody else, women, elegant, flower","dark, cool, calm, a slower part of the day","to the right, a long way away, Virginia, Afganistan","they have pyramids, they have sand, they have a long history, they used to have cats","everything, a difficult choice, somehow better than the others, diamonds, someone else put their time into it and therefore it is expensive","what school teaches you to ask, use a complete sentence, a way of teaching, what your kids are going to ask you everyday, can be easy, can be hard, a question must be posed first, never complete enough","continous, an urge, a craving, a social interaction, expensive, can make you sick, can satisfy you, mom's home cooking, made of nutrients and protien and fat that you body needs, a constant search for more, you keep reserves of it at all times","sly, red, furry, eats meat, hard to see, likes the outdoors, long nose, fast, more scared of me than i am of it, skinny","seagrams, dry, harsh, mixed with tonic, gentlemans drink, appreciated, fine women","a greeting, a way to make the first two seconds less awkward, abbrviated Hi or Hey","I got one today, a sign of caring, a way of connecting, usually initiated by one party and wanted by one party although two parties must be present, affection, a big bear hug","Johnny Cash, Nine Inch Nails, an everyday occurance, not as serious as pain, causes you to frown","smoke, calm down, relax, dont forget to, makes a quiet sound, must be followed by an exhale","meant to be used, unique, music, brass, means not an end, beautiful, noisy, time consuming, respectful","contain, hide, maintain virgin, maintain, seperated from something else, yours, mine","what all my friends are doing, a lie, a front, suppose to be for love, a union, a joining of two forces as one, a denial of self","Vague, politically incorrect, old white guys, power, the only ones who can do something of importance in the situation, leader","annoying, scratchy, what your uncle has, what mexicans and baseball players have, hitlers favorite","ships, water, seas, battle, J.A.G., wear uniform, all over the world, long times away, expensive, admiral, see the world","close to, attraction","7, a representation, usually in base 10, different from letters, a symbol for a quantity","singular, only once?, usually a lie, I only did it once, I'll try anything once","an impossible state, money, wealthy, better than","singlular, 4 walls, white, enclosure, purposeful, designed, everywhere, where am i, people watching me","what the group will try and do to the individual, results in a scream, we fear it yet we want more, girls clutching your arm","lab-coat, science, learned, coldplay, medical, military, industry, greatness, introvert, leader, follower, demands trust, works in a lab, works all the time, sees results, conducts experiments, explains","not this quiz, brief, less than you would expect","from a gun or from a bottle, small yet painful, changes its victim, quick","fox, untrustworthy, a skill that few have","black, dirty, small temporary, a mistake","hard, rounded, useful, heavy, painful, old, pre-modern, decoration, woman, resource, skip on water, natural, old-school","considered bad weather, people sit inside and watch it, people outside run, powerful, out of your control","emotion, a build up, an expression, cant be held back, sad","A generalized way of thinking that explains a multitude of phemonmena and experiements, what we each have, the result of thinking","how many seconds it takes is how far away the storm is, loud, can be scary can be peaceful, a result","needs a destination or a direction, taken seldomly, a vacation, round trip","gold, plastic, what you win for playing sports as a kid, prize, only useful for showing off or for remembering another time, the culmination of events","racism, most things, life, complaints, what the loser says, slanted to one side",someone you have to leave a tip for,"beach, water, wetsuit, girls, makes you colder, not pleasant","big round, in space, Earth, where we are, comes in one size the real world, everyone you know is part of it, the bigger picture, more than yourself","nervous, shaking, the result of unknows in your life, can consume your thoughts"
64873,10/29/10 12:18,10/29/10 12:43,25,"has wings, has an engine",it is made of wood,"a loud warning, associated with red",something that happens yearly,"grow from a tree,  they are healthy, have natural sugars, are red, are green, are yellow","could be a donkey, could be referring to a human's butt","trying to do something, not succeeding","has several members, travels, makes records","can be green, can be black, can be red",transporting something,"are loud, can be cute, love to play games","place of worship, religiousp place","mollusk, can be eaten","used for cutting hair, elctric tool","use tools, construction site, yellow caution tape, hard hats","preparing and making food, uses spices","hides something, helps protect something","is silver, used to hurt others, used to defend","makes people smell better, is for hygeine purposes","lives in the ocean, salt water fish, grey body, has fins","women wear them out, white for weddings","pretty colors in the sky, around 6 o'clock","opposite of west, east coast","arab republic, has egyptians","is for the rich, things are costly",to make understandable,"can taste all sorts of ways, can go bad","is red, is a predator",alcoholic drink,"greeting, salutation","makes people happy, can make people unconfortable","not feeling normal, could be from an accident","breathing in oxygen, use your nose","used to make music, used for medical procedures","to save, not give away","the joining of two lives, rings are symbols","have short hair, can grow beards","grown by men, coarse hair, various colors","part of the military, on the water, white suits and hats","close, in the proximity of","used in math and physics, makes up a telephone number",happened only one time,"have money, can afford expensive things","where one stays, in buildings",firghtening,studies the world of science,"not being tall, dwarf, not having enough of something","shot from a gun, shot of alcohol, unsafe","sneaky, kids are sly to get what they want","to make something unclear, rubbing something around","is grey, is hard","consists of lightning, rain and thunder, can be serious","salty water, comes from the eye, happens when someone is sad","used in all school subjects, principle of explaination for a subject",lightning hitting something to make  a loud noise,"car ride, plane ride, going to a destination, fun activities","get as a reward of winning, usually from sports or dance","not just, not fair",serves people,covered in a liquid,"the earth, represented in a globe",to be concerned
66028,10/29/10 15:19,10/29/10 15:54,35,"it flies,made of steel,holds passengers,travels quickly, runs on fuel, expensive, has a pilot,has wings,has an engine","floats, used for surfing,is colorful, made of fiberglass, is a piece of sports equipment, is smooth, is long","ready, not tired",once a year,"is a food, is a fruit, is red, green, or yellow, is healthy","attached to body, made of fat","try, is making an effort","has bandmembers, plays music","is a vegetable, comes in many varieties, is eaten by people all around the world, is small","keep with you, hold","are small, are learning, go to school, live at home","is a place of worship, where people of same religion gather","is an animal, lives in water, can be eaten, has a shell",is used to cut or trim something,"is done to change an area or building, takes time, takes money, takes machinery","is to make food, takes time, takes ingredients","is used to conceal something, is used to keep something warm","is sharp, pointed, has a handle","smells fresh, keeps people or objects from smelling bad","is an animal, is a mammal, lives in the ocean, swims in pods, eats fish","is an one piece article of clothing usually worn by women, worn on special occasions","is between daytime and the night, is short, happens everyday",a direction,"is a country, has pyramids, is hot, has sand,","costs a lot of money, is valuable","is to tell, let someone know how to do something","is eaten, is used to stay alive, is neccessary","is an animal, is in the canine family, is red and white, is small","is an alcohol, is popular with tonic water","what you say when you meet someone, a greeting","uses arms, is used to show affection","is painful, feels bad",is to breathe in,"is an object used to create music, is made of wood or metal,takes training to play well",make something yours,"is legally wed, had a wedding, two people together","are tall, most have short hair, are muscular","on a man's face, is made of hair, is above the mouth","is a color, is a shade of blue, is dark","is close, not far away",is used to count objects,happens singularly,"not poor, has money or possessions","has walls, has a door, has a floor","to surprise someone, is frightening, is shocking","works in a lab, tries to make discoveries","is small in stature, is not tall","means hit, caused by a gun","is sneaky, is clever","is a smear, is dirty","is made over time, is heavy","has lightning, has thunder, has rain, has hail","is salty, comes from your eyes,","hasn't been proven, term used by scientists","heard after lightning, is loud",is a vacation,"is an award, shows you have accomplished something","is injustice, is not right","brings you food, works in a restaurant","has moisture, is not dry","is earth, is round, is huge, has oceans, has land",is concern
64498,10/30/10 23:50,10/31/10 0:22,32,"it can fly, it's heavy, its on land, it's in the air, people ride in it, people work on it, it's built from parts, it has cabins, it's warm, it's cold, it has an engine, it can go across country, it has passengers, it has a pilot, it's large","long, narrow, it can have a person on it, it can be in water, it can be waxed, its shiny, its dull, its wet, its dry, it's in tropical areas, it's colored, it's white, it can be ridden, it's on waves, it costs money, used for surfing","alarm, awake, ready, after a scary movie","once a year, interest rate, sales, semi-annual,","fruit, seeds, star, cut, apple dippers, mcdonalds, red, yellow, gala, granny smith","donkey, butt, jerk, cuss word, unacceptable,","try, work towards something, don't give up, to do something","marching, music, bracelet, instruments, sound, off key, on key, pitch, harmony, rubber, hairtye","jelly, pinto, black, brown, in bags, sold at walmart, make gas, chilli","lift, hold, take somehwere, holding something, moving something","kids, diapers, terrible two's, runny noses, sick, elementary school, teenagers, toys, messy rooms, sticky fingers","god, jesus, sunday, worship, sin, hell, heaven, angels, song, prayer, help, hope, love, peace, sanctuary","sea, seafood, allergic, shell, food, white, living, sea creature, texture of skin,","to cut nails, to trim hedges, silver, metal, cold, shiny, sharp, rounded or straight","dangerous, CAT, bulldozer, machinary, workers, buildings, blueprints, land, trucks, dirt, progress","chef, dinner, meals, oven, stove, microwave, apron, heat, fridge, makes meals, is a human","blankets, cold, to hide something, over a car, duck,","stab, wound, knife, rigid, video games, medievel times, used by people, kill, harmful, painful, weapon","anti perspirent, dove, scent, smell good, white, clear, gel, spray, girls, guys, after shower","fish, ocean, jump, swim, fins, snouts, sea world, tricks, grey, sleek,","to wear, clothing, hung in a closet, wore by a girl, strapless. sweet heart, prom, wedding, bridesmaid","sun down, orange skyline, opposite of dawn, sunset, right before night, time to stop playing as a child, streetlights come on","direction, coast, virginia, south and north carolina,","country, egyptians, pyramids, heiroglyphics, sand, desert, king Tut, cats, mummies, burials, first born, cairo, river","broke, no money, can't afford, Coach, cars, college, kids","details, go into depth, elaborate, go on, to broad, speech, hard words","to be eaten, all kinds, some allergic reactions, sea, chinese, korean, italian, necesarry, calories, sugar,","animal, woods, furry, orange, fox and the hound, movie, long nose, fast,","alcohol, rum, shot, on the rocks, with ice, mixer, in drinks, used by alcoholics, nasty","hi, how are you, greeting, language, english, slang, niceties","love, friendliness, free, candy with white chocolate and milk chocolate, between two or more people or animals","pain, sorrow, throbbing, cut, bleeding, bruised, doctor, fall,","breathe, take in, oxygen, breaths, excersize,","to be played, to be used, for a band, to produce music, pitch,","save, hold onto, memoribilia, keep sake,","in love, elope, become one, change last name, in court, through a wedding, dress, tuxedo, honeymoon, marriage license, car with just married on the back, to bind oneself to another with vows, to love in sickness and in health, to be with one person","gender, male, testicles,","facial hair, the monopoly man, beard, scuffy, under the nose, above the mouth, hiding the lips, getting food stuck in","armed forces, branch of military, at sea, on a boat, seabees, blue, uniforms, service men and women, OIF, iraq, baghdad,","far, close, together, by, not far, distance, measure,","infinite, google, age, percentage, grade point average, telephone number, address, mileage, miles per hour, rating, social security number","one, never again, one time, opposite of twice, upon a time","money, cars, happiness, stocks, cash, checks, business, good job, large house, tons of money","space, bedroom, bath room, area, home, bed, shower, tv, sink, towels, clothes, closet","frighten, halloween, freddy, jason, black cats, terrified, costumes, movies, songs, people, night time, back alleys","college graduate, bachelors, bubbling chemicals, chemistry, equations, science, experiments, problems, solutions","stumpy, can't see over the wheel, can't see over the counter, fit into small spaces eaasily, height, length, measurement","gun, basketball, soccer goal, wound,","sneaky, quick, as a fox,","dirt, spot, food, rubbed, spread, wiped, on the face, paint,","to throw, rock, in older days to kill, medusa looks at you,","thunder, lightening, rain, snow, hail, sleet, wrecks, falling trees, electricity out, X-men,","if your'e crying, or to rip something, running down someone's face, or something is in half","idea, repeated, proven, tested, scientists, philosophy, denied, approved","loud, boom, happens during a storm, occurs before lightening, scary, in the sky, rumbling","across country, mileage, car, packing, planning, fall, to trip someone,","prize, winner, competition, medal, spelling bee, athletic game, shiny, gold, silver, name engraved","not right, unjust, not liking the results, biased","male person to bring you food, resturaunt, olive garden, slow, tip, refills, kind, friendly, talkative","not dry, soaked, shower, car wash, drenched, socks, clothes, hair, body, dripping, water, water balloons, water gun","globe, united states, 7 continents, bodies of water, 90% water, countries, people, populations, universe, planet","scared, afraid, thought, bothered, problem, conflict, waiting,"
64093,10/31/10 15:36,10/31/10 16:04,28,"to travel from country to country, state to state. Carry things such as mail, weapons, packages, packages, people.",To glide on waves in the ocean.  Used for recreation and a sport,"fire, tornado, tell people there is danger",happens once a year,"fruit, red, green, yellow, pie","donkey, butt",trying to do something but failing,"music, rock or metal","vegetable, green, good with butter",to bring something or someone somewhere,"kids, candy, sticky, family, screaming","worship whatever you believe in. prayer, singing","live in the ocean, we eat them, beavers eat them to",hair clippers,"build, construct, make things for people to live in or work in",food,"magazine, to hide from something","romeo and juliet, weapon",use to not have body oder,"animal, ocean, flipper","Something you wear to a nice place, dance, or party.  Long or short, sparkly, boring, black or other colors. pretty","nighttime, sunset, beach","compass, east coast, cold, NEW YORK!","place, pyramids, people live here, people travel here","cars, jewelry, clothes, houses, need lots of money to buy and your cool if you have it",to give your own definition of something,"eat, crackers, bread, candy, vegetables, fruit, cereal,","animal, network on tv","and tonic, alcohol",greeting,"embrace, welcome, something you give someone to make them feel good or better","scratch, broken bone, emotionally hurt",beath in,"music, harp, guitar, piano",to have something forever,to be with someone forever as husband and wife,handsome,"facial hair, cookie duster","Marines, help to fight for our country, on the sea",to be close to something,math,happened one time,money,"bed, dresser, closet, people, stereo, sleep, get ready to go out, school","halloween, monster, costumes, scary movies","science, studies things to see if they are real or true","small, midget","nurse, doctor, antibiotic, baby",can do things without people noticing,using a finger to mess up something wet,"rock, outside","Rain, hail, tornadoes, thunder, lightning, tsunamis, hurricanes, snow, fog","crying, to tear a piece of paper","research paper, last sentence of first paragraph","storm, lightning, rain","ski, beach, mountains, plane, luggage, family, friends, train, car","win a sporting event, scholar event",not right for someone and right for another,"restaurant, black and white suit, food, drinks",water,"green and blue, where we live",parents worry about kids
66055,11/1/10 9:58,11/1/10 10:25,27,"air, wind, engines, technology, math, physics, crashes, heights, fear of heights, anxiety","water, saltwater, sand, blond hair, beaches, waves, tans, sunlotion, wax, sharks, bikini","warning, fire, attention, red lights","yearly, leaves, autumn","red, sweet, green, tart, round, newton, math, boring","mule, women, hole, dumb, jerk","try, fail, effort, halfhearted","rock, music, instrument, stage, speakers, audience, exciting","pork, can, food, farts, protean, refried beans, mexican","duty, work, effort, burden, job","kids, fun, laughing, playful, dorks, sticky, gross, loud","hypocracy, atrocity, murder, villany, zealot, preacher, black, jesus, bible, descriminaion, hatred, biggotry","peaceful, relaxed, funeral, death, meditation, simplicity, enlightened","scissors, hedge, machine, bush, sheer","work, dirt, concreate, steel, skyscraper","prepare, chef, food, dinner, steak","banket, sheet, shield, protect","sharp, spine, pointed, cloak, sneaky, stab, small, hidden","stench, skanky, artificial, smell, gel, stick","smart, gray, blue, fast, strong, pointy, ocean, sharks","formal, pink, pretty, woman, princess, costume","dawn, twilight, evning, night, color, shadows, silouets","west, start, compas, astrology, sailing","pyramid, sphynix, ancient, advanced, slavery, makeup, cruelty","regret, irritation, unfairness, bandit, screwed","complicated, inform, detail,","pleasurable, tasty, cheap, nasty, delicious, colorful, exciting, salty, crunchy, greasy","smart, evil, fast, crafty, sneaky, cruel, tricksy","ichymaru, drink, juice, african-american, rap, bitter, disgusting, cheap","hello, hi, yo, sup, hey, hey-yah, howdy, cowboy","kiss, embrace, care, friendship, relationship, enjoy","pain, agony, despair, depression, affliction, brutal","exhale, air, breath, lungs, wind","music, tool, guitar, piano, wrench, doctor, surgery, patsy, minion","guard, hoard, protect, hide","bonded, ring, white, love, truth, honesty, conviction, fortitude, endurance","women, chest hair, stength, pride, courage, anger, agression","mario, pervert, weirdo, tickle, dirty","army, boats, ocean, sea, military, guns, anchor","far, personal space, proximity,","sequence, order, math","twice, three times, upon a time,","poor, corrupt, villanous, theif, crook","hotel, motel, cheap, numbers, isolation, cube, messy, sanctuary","fear, monster, zombie, halloween, thrilling, fun, excitement, terror","glasses, pocket protector, lab coat, smart, dangerous, naive, black hair, gangley","simple, plain, quick, fast, minute","bullet, glass, liquor, guns, speed, scary","theif, rogue, bandit, liar, cheat, crafty, trickster, schiester","grease, oil, work, smell, thick, stain, black, slimy","hard, artistic, formed, gray, cold, icecream","exciting, scary, fun, rain, fury, power, primal, rejuvinating","sorry, weap, fear, sadness, departure","hypothesis, formula, idea, principal, philosophy","lightning, power, force, fire, destruction, primal","fall, fun, scrape, cruise, vacation, psycadelic, drugs","award, prize, merit, competition, victory, pride","cruel, bias, discrimination, bullshit","servant, friend, kind, helpful, polite, fast, slow, good, bad","moisture, liquid, soaked, slippery, moist, fun","globe, planet, sphere, round, whole","fear, confidense, weakness"
62935,11/1/10 10:56,11/1/10 11:21,25,"flying, heights, fear, 9/11, pilot, the movie ariplane","used for surfing, beach, sand, swimsuit, waves, oceans","paying attention, ready, instincts,","every year, tradition,","iPod, iPad, Mac,","booty, sex, sexy","trying, effort, failing","music, instruments, singing","tacos, canned beans, pork and beans","football, basketball, helping","future, little people, responsibility","God, pews, bible, Sundays","water, food,","LA, basketball, hair cut","hard hats, road blocks, detours","food, chef, restaurant","books, sleeping, warmth","stabbing, Indians, hunting, weapons","axe, old spice, smell","Miami, water, ocean","little black dress, girls, important events,","the movie dusk til dawn, vampires, sun setting","New York, Atlantic Ocean, east coast","desert, pyramid, far away","cars, houses, stressful","information, details, examples, teachers","taste, enjoyment, savory","fox and the hound, hunting, quick","alcohol, drunk, party","greeting, meeting people, conversation","love, comfortability,","ankle, back, pain","air,breathing, exhale","guitar, drums, microphone","hold on too, importance, always have","wife, love, lifetime","Strength, sports, beards, father","bad looking, old, not stylish","water, submarine, war","close, almost there, short distance","phones, area codes, math","never again, once in a lifetime, important","money, wealth, nice cars","where i live, bed, tv","Halloween, fun, urban legends","experiment, teacher, chemicals","quick, little, height","basketball, gun, party","clever, funny, quick witted","dirty, not clean, imperfect","hard, skipping stones, stone faced","rain, thunder, lightning, interesting,","sadness, crying, hurt","unknown, guess, research","storm, Oklahoma city, Kevin Durant","vacation, falling, road trip","winning, 1st place, State Championship","being cheated, unjust,  not winning","restaurant, food, tips","water, summer, fun","culture, many people,globe","stress,deadlines, concern"
63838,11/1/10 11:52,11/1/10 12:20,28,"An airplane has wings, engines, and has the abiliy to fly.",Surfboards can float and glide through water with ease.,warning,"every year, or at a specific time","fruit, computer company","donkey, mule, arogant person",to try,"musical groups, to wrap bands around",seed produced from legume plant,"to hold, lift, transport","young humans, not mature",place of worship,"sea food, organism","sail boat, cutting tool","building structures, heavy machinery, labor, demoltion",prepares food,"protection, warmth, quilt, shelter",knife,smell good,"mammal, swims,","to put clothes on, clothing for women",when the sun goes down,"opposite of west, direction",cotton and wheat producing country in Africa,"not affordable, cost too much, out of price range",to give reason,source of energy,"a small mammal, atv clothing company","tool for separating cotton, alcohol",greeting,to wrap arms around someone,"physical pain, emotional pain",take in air,"musical tool, tool with specific purpose","to have, to take possesion of, to hold on to",to commit life to someone else,mature males,"Maturity, male","part of the armed forces, sea bound","close, not far away","to count,",one time,"loaded, well off, not poor",place in a building,to put fear in someone,"lab work, theories","little, not tall","vaccination, gun shot, pellets in a shotgun shell",sneaky,"dirt, smeared ink","rock, diamond or ruby  in jewlery",weather,"water coming from the eye, to rip",Ideas,noise produced in thunderstorm,to travel to somewhere and back,sign of accomplishment,"not fair, not legit, cheating",someone who takes order and serves,"soaked, cold, dripping, slippery",earth,to think about something
66067,11/1/10 16:24,11/1/10 16:54,30,"wings, it flys, modern technology, has passengers, requires a pilot, can be dangerous, runs on gas, used for travel","wood, elongated board, used for surfing, rides waves, has fin","to warn, somethign bad, out of norm",yearly,"red,green, juicy, type of food, used in cooking, tasty, grown on trees, picked by children and people","donkey, animal","trying, taking a chance","multiple people, instraments, music, group effort","food, used in cooking, dicot","object, lifting, holding","family, loving","praying, group of believers, higher power, minister","freshwater, mussels","blades, trimmer, hair","building, making, group effort, wood, tools","makes food, uses food in many ways, employment/employer","hide something,","sharp, pointy, hilt, could be used for murder, could be used to hurt","smell be gone, anit stink","animal, mammel, in the sea,","pretty, formal, long","beginning of darkness, after twilight, sun at the horizon",compass,"place, pyramids","costly, cash, money, cars","deciphering, giving directions, to understand, trying to help someoen understand","hunger, tasty, calories, cooked or uncooked, many kinds, hot or cold, different in cultures","animal, has a tail, walks on four","alchohol, bad taste","greeting, answering a phone","loving, friendship, family","pain, bleeding, internal, external, human body","bring in air, breathing","used in music, played for fun, possible job","central, tower, dungeon, fortress, castle, defended area","to love, marriage","male, adult,","hairy, should be shaved","part of governemt, things to do with the sea","not far, next to, very close, strong bond","mathetical object, part of counting, part of measuring,","only one time, never again","alot of currency, greedy, possibly rude","space within a structure, interior walls, have a door, used for sleeping areas, used for kitchens, living rooms, all parts of a house","frighten,","expert,","very brief, not long, small, midget","loud, bullet, could be painful, used in guns","sneaky, secrative","dirty mark, smearing","hard, part of the earth, used in many things","rain, lightning, thunder, destroying, very mild ,very bad","sad, crying, in pain","idea,","loud, scary, cant be seen, only heard, comes after lightning","vacation, free time, should be fun",proud achievement,"one sided,","work, job, employee,","water, drenched, dripping, soaked","big, different things, water,land",wondering
