"spelling.errors","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"physcal","physical","phys cal","phys-cal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achiver","achier","achiever","archive","achieve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"procrastnation","procrastination","procrastinator","procrastinate","prognostication","prostration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"workhomework","work homework","work-homework","homework","workhorse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"medician","medicine","medicinal","median",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"perscriptions","prescriptions","superscription","proscriptions","descriptions","inscriptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stethescope","stethoscope","stereoscope","telescope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xrays","crays","rays","trays","drays","grays","prays","brays","frays","x rays",NA,NA,NA,NA,NA,NA
"unversity","university","universality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"perscribes","prescribes","per scribes","per-scribes","superscribes","superscribe","prescribe","subscribers",NA,NA,NA,NA,NA,NA,NA,NA
"meds","mess","med","mes","eds","mends","melds","mdse","meas","mads","reds","teds","mods","megs","beds","feds"
"nureses","nurses","nurtures","enuresis","ensures","nurse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stethascope","stethoscope","posthaste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seringe","serine","syringe","stringer","fingering","lingering","sneering",NA,NA,NA,NA,NA,NA,NA,NA,NA
"anethesia","anesthesia","anesthetist","antithesis","anesthetic","anesthetize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hasrelationships","has relationships","has-relationships","interrelationships","relationships","interrelationship","relationship",NA,NA,NA,NA,NA,NA,NA,NA,NA
"liscened","licensed","listened","discerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psychian","psychic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acedemic","academic","academia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"knowlegeable","knowledgeable","knowledgeably","unknowable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thelescope","telescope","telescopic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"homie","home","homier","homiest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"femail","email","f email","fem ail","fem-ail","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coney","cone","cony","coneys","convey","cones","coley","coned","money","honey","covey","cone y","cockney",NA,NA,NA
"cuniculus","funiculars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lagomorph","mesomorph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"minature","miniature","mi nature","mi-nature","minaret","nature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dalls","falls","dales","dells","dills","dolls","calls","dulls","galls","malls","palls","halls","balls","dally","walls","Walls"
"funcational","functional","foundational","unconditional","malfunction","calcification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stuiped","stooped","striped","stumped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"toplay","to play","to-play","top lay","top-lay","outplay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chuckie","chuckle","chuck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dressup","dress up","dress-up","sundress","dress","suppress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"porcelin","porcelain","porcine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spiderman","spider man","spider-man","epidermal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nicki","nick","nicks","Vicki","nick i","kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"minaj","minaret",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dressable","dress able","dress-able","addressable","dreamless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"porceline","porcelain","porcupine","porcine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bratz","brat","brats","brat z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"curency","currency","cur ency","cur-ency","urgency","recurrence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"succed","sicced","succeed","sucked","success","succored","seduced","seduce",NA,NA,NA,NA,NA,NA,NA,NA
"aquire","squire","quire","acquire","a quire","aquifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"controlls","controls","control's","con trolls","con-trolls","cont rolls","cont-rolls","control ls","control-ls","controllers","controller","controlled","controlling",NA,NA,NA
"foodclothes","food clothes","food-clothes","bedclothes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mamual","manual","mammal","malamute",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"marino","marine","merino","marina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mamamal","mammal","amalgam","mamma","mama","llama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seaworld","sea world","sea-world","seaworthy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mammel","mammal","trammel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"promethius","promethium","promiscuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bottlenose","bottle nose","bottle-nose","bottleneck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milllitary","military","militarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caput","capt","kaput","ca put","ca-put","catapult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"activitys","activity","activity's","activity s","activities","activists","activist","vivacity",NA,NA,NA,NA,NA,NA,NA,NA
"finshed","fished","finished","fin shed","fin-shed","finisher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finishied","finished","finis hied","finis-hied","fiendish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finised","finises","finished","finis ed","finis-ed","finessed","finis","fined",NA,NA,NA,NA,NA,NA,NA,NA
"behavioraction","behavior action","behavior-action","behavioral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fordid","forded","sordid","forbid","for did","for-did","ford id","ford-id","ford",NA,NA,NA,NA,NA,NA,NA
"innapropriate","inappropriate","appropriateness","appropriate","appropriation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seise","seine","sense","seize","nisei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comand","command","com and","com-and","condom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"contracation","contraction","contra cation","contra-cation","contraindication","contraception","contradiction","concentration",NA,NA,NA,NA,NA,NA,NA,NA
"negatory","nugatory","negotiator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"curius","curious","curies","curios","curium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"openclosed","op enclosed","op-enclosed","open closed","open-closed","enclosed","encyclopedic","enclose",NA,NA,NA,NA,NA,NA,NA,NA
"passig","passing","passim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opertunity","opportunity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entrence","entrance","entrench","entree","reticence","trenchant","sentence",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hidges","hides","hedges","hinges","ridges","midges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"knoblatch","knob latch","knob-latch","latchkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liminal","criminal","nominal","imaginal","minimal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"outsideinside","outside inside","outside-inside","mountainside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doornob","doorknob","door nob","door-nob","doormen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"settingout","setting out","setting-out","setting","outputting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paticular","particular","particulate","articular","articulate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anddots","and dots","and-dots","sandlots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pencial","pencil","special",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"punctunation","punctuation","pronunciation","compunction","punctilio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dolmation","domination","idolization","donation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fruitflavored","fruit flavored","fruit-flavored","fruitfulness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"polkadots","polka dots","polka-dots","polkas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brail","bail","rail","brain","trail","broil","braid","grail","frail","brawl","Grail","b rail",NA,NA,NA,NA
"largesmall","large small","large-small","larges mall","larges-mall","largess",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cothing","clothing","coshing","nothing","co thing","co-thing","cot hing","cot-hing","cottoning","thing",NA,NA,NA,NA,NA,NA
"pokadot","pothead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dotsgame","dots game","dots-game","dotage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"circules","circles","circuses","circulates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"graphes","graphed","graphs","grapes","graph's","graph es","graph-es","graph",NA,NA,NA,NA,NA,NA,NA,NA
"natually","naturally","nationally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dalmation","dalmatian","damnation","validation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pokadots","potshots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diffferent","different","difference","diffident","efferent","afferent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"polkadot","polka dot","polka-dot","polka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dippin","dipping","pippin","Pippin","dip pin","dip-pin","dripping",NA,NA,NA,NA,NA,NA,NA,NA,NA
"waxtasting","wax tasting","wax-tasting","tasting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"circlelike","circle like","circle-like","circlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"untrusting","entrusting","trusting","unstinting","frustrating","instrumenting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unassured","unmeasured","assured","unsurpassed","uninsured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moola","moo la","moo-la","molar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"circurlar","circular","circumpolar","curricular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"middlefried","middle fried","middle-fried","middlebrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"toroidal","thyroidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dunker","dinker","drunker","danker","dunner","dunked","punker","hunker","bunker","Bunker","dunk er","dunk-er","junker",NA,NA,NA
"clearless","clearness","clear less","clear-less","clearances","collarless","fearless","leaderless",NA,NA,NA,NA,NA,NA,NA,NA
"gloriole","oriole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deepfried","deep fried","deep-fried","friended",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"torusshaped","torus shaped","torus-shaped","misshaped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dought","sought","fought","doughy","dough","ought","drought","doughty","bought","d ought","dough t",NA,NA,NA,NA,NA
"vadai","dadaism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neagtive","negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"percieved","perceived","persevered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppositie","opposite","opposition","positive","postie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"underneith","underneath","underweight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sucky","ducky","suck","sucks","sulky","lucky","mucky","yucky","suck y",NA,NA,NA,NA,NA,NA,NA
"roo","too","root","rood","room","roof","rook","roe","rot","loo","coo","rod","goo","moo","poo","rho"
"impaler","impale","impales","impaled","impale r","imperial","impeller",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bram","beam","bran","bra","ram","bream","Abram","brae","bras","brim","brat","tram","cram","brad","dram","brag"
"firebreathing","fire breathing","fire-breathing","breathing","breathtaking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somethingespecially","something especially","something-especially","nonspecializing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"towerin","towering","tower in","tower-in","tower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"firebreath","fire breath","fire-breath","firebreak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wyvern","vernier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reptilelike","reptile like","reptile-like","reptile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"remsleep","rem sleep","rem-sleep","sleeper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oneirology","necrology","neurology","gerontology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambiton","ambition","ambit on","ambit-on","ambit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allways","allays","always","hallways","all ways","all-ways","alleyways","tollways","spillways","hallway",NA,NA,NA,NA,NA,NA
"imaginatiom","imagination","imaginative","nomination","intimation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dreama","dreams","dream","drama","dreamy","dream a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wishfulness","wistfulness","willfulness","bashfulness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocasions","occasions","occasion","ascensions","scansion","moccasins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"artical","articular","cortical","artificial","vertical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"crossdresser","cross dresser","cross-dresser","crossbreed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flowy","flow","flows","flown","blowy","flow y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"usdually","usually","gradually",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"homecomming","homecoming","commingling","commingle","commending","commenting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noramlly","normally","amorally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fausets","faucets","segfaults",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dripdrop","drip drop","drip-drop","raindrop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somethigns","somethings","something",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ivs","iv","is","vs","ins","its","ids","ivy","ifs","i vs","iv s","IVs",NA,NA,NA,NA
"fosset","cosset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"focet","facet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"southing","shouting","soothing","soughing","mouthing","sou thing","sou-thing","outhitting","outshining",NA,NA,NA,NA,NA,NA,NA
"tearlike","bearlike","tear like","tear-like","warlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"broadcom","broad com","broad-com","broadloom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"codriver","co driver","co-driver","cod river","cod-river","overdrive","driver",NA,NA,NA,NA,NA,NA,NA,NA,NA
"licence","license","lenience","lice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"autoist","autistic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vessil","vessel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"driverdrives","driver drives","driver-drives","overdrives","overdrive","screwdriver","riversides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"etca","etc","eta","etch","etc a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"insurence","insurgence","insurance","insurgency","insurer","insure","resurgence",NA,NA,NA,NA,NA,NA,NA,NA,NA
"manuvering","maneuvering","manuring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carefull","careful","carefully","care full","care-full","careful l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lightssigns","lights signs","lights-signs","lightweights","nightlights","unsightliness","lightness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"greenredyellow","greenfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stopsigns","stop signs","stop-signs","signpost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liscence","salience","license","science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"perservierance","perseverance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"despairdebtremorse","remorselessness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"droopyeyed","droopy eyed","droopy-eyed","eyedropper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inhibitorpromoter","inhibitor promoter","inhibitor-promoter","incomprehensibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"colorfuls","colorful","colorful s","colorfast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herion","heroin","heron","hereon","her ion","her-ion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pharamaceutical","pharmaceutical","pharmaceutics","pharmaceutic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heathly","healthy","deathly","heatedly","healthily","earthly","heath",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ketamine","amphetamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mdma","mama","madman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ghb","gab","gob","GHz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"whippits","whippets","whip pits","whip-pits","whippings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrox","nitro","nitro x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poision","poison","position",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antibodic","antibody","antibiotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cocain","cocaine","coca in","coca-in","contain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"marijuanna","marijuana","marinara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"percription","superscription","perception","prescription","proscription",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psycosis","psychosis","psittacosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illeegal","illegal","illegible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrooms","sh rooms","sh-rooms","mushrooms","washrooms","showrooms","mushroom",NA,NA,NA,NA,NA,NA,NA,NA,NA
"dehabilitation","rehabilitation","debilitation","destabilization","demobilization","delimitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inhancer","enhancer","inheritance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inticing","inciting","enticing","int icing","int-icing","intimating","anticking","ticking","icing",NA,NA,NA,NA,NA,NA,NA
"easyly","easily","easy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"euqhoria","euphoria","euphoric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"managecure","manage cure","manage-cure","manicure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ecstacy","ecstasy","ecstatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xanax","taxman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adderall","adder all","adder-all","ladder","balladeer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"perscription","prescription","superscription","proscription","conscription","description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antibioctics","antibiotics","antibiotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liqid","liquid","lipid","livid","liq id","liq-id","lid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"perscribed","prescribed","superscribed","superscribe","proscribed","described",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"harfmul","harmful","fearful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unprecribed","prescribed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exstacy","intestacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tripp","trip","tripe","trips","trip p",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heorin","heroin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"conciousness","consciousness","contagiousness","conscientiousness","precociousness","contentiousness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyenol","oenology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"addicition","addiction","addition","adjudication","admonition","contradiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pyhsical","physical","psychical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acohol","alcohol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disconfort","discomfort","disconcerting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vodku","vodka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"overconsumption","over consumption","over-consumption","overcompensation","overconscientious","consumption","consumptive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"embaris","embarks","barbarism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poisioning","poisoning","positioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"individial","individual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"olds","old","colds","golds","molds","holds","folds","wolds","old's","sold","oles","odds","old s",NA,NA,NA
"forgetten","forgotten","forget ten","forget-ten","forgetting","forget",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unmoist","moist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thirsy","shirty","thirst","thirsty","thirty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"corse","cores","core","coarse","corset","course","corpse","score","curse","gorse","copse","horse","worse","Norse","Morse","corsage"
"thristy","thirsty","thrifty","touristy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"driedup","dried up","dried-up","dripped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edibleused","edible used","edible-used","edible","dissembled","dibbled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wawa","away",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"projecttime","project time","project-time","projectile","projection","projector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shaprened","sharpened","sharpener",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nto","not","no","to","into","onto","unto","ton","nth","Ito","n to",NA,NA,NA,NA,NA
"raing","rain","rang","ring","raring","rating","racing","raging","raping","raving","raking","razing","grain","rains","ruing","rainy"
"enthusiam","enthusiasm","enthusiast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"laking","leaking","slaking","larking","lacking","flaking","lasing","liking","raking","taking","lacing","caking","lading","laming","making","baking"
"uncreative","creative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decription","description","decryption","prescription","deception","conscription","inscription",NA,NA,NA,NA,NA,NA,NA,NA,NA
"deam","mead","seam","dram","dean","dam","dream","dame","deem","diam","dear","ream","team","deal","dead","beam"
"unsharp","sharp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"characterisitc","characteristic","characterize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lolipop","lollipop","lollop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aciton","action",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"collasal","colossal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"krazy","crazy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iggnorant","ignorant","ignorance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"undescernible","discernible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ignant","indignant","poignant","ignorant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ignance","ignorance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slamdunk","slam dunk","slam-dunk","slammed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dualistic","ritualistic","idealistic","statistical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"animails","animals","mainsails","bailsman","mailman","mails",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temperture","temperature","temperate","aperture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"evning","evening","evincing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"silouets","silhouette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"debree","decree","degree","breeder","breed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"loess","loses","loss","less","sloes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gilings","filings","pilings","givings","fillings","ceilings","railings","inklings",NA,NA,NA,NA,NA,NA,NA,NA
"alergin","inhaler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"responsibleness","responsiveness","responsible","responsibly","responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tarif","tariff","tar if","tar-if","tartaric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dutyobligation","duty obligation","duty-obligation","obligation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
